,name,release_dates,platforms,meta_scores,user_scores,summeries,num_meta_critics,developer,publisher,amount_of_platforms,all_genres
566,Heroes of Might and Magic IV,"March 28, 2002",PC,84,7.6,"Lead multiple hero-characters into battle to fight alongside troops for an intense combat experience. Encounter all-new heroes and over 60 creatures in 6 massive campaigns and 24 scenarios. 
With an all-new game engine, lifelike isometric view, breathtaking graphics and richly detailed landscapes, the adventure map comes alive! With 48 Hero Classes and all-new skill and magic systems, summon all your strategic insight, tactical cunning and leadership abilities to ascend to the throne of this perilous new world! [3DO]",18,New World Computing,3DO,1,"Strategy,Turn-Based,Fantasy,General,Fantasy"
567,Command & Conquer: Red Alert 2,"October 21, 2000",PC,84,8.9,"Wielding strange new technologies and hungering for revenge, the Soviet Empire invades America. New York City and Washington are overwhelmed. Allied forces, unprepared for the surprise attack, are decimated. Will freedom be crushed under the heels of Communist aggression?  [Electronic Arts]",29,Westwood Studios,Electronic Arts,1,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command"
568,Shogun: Total War,"June 13, 2000",PC,84,8.4,"Japan, 1542. The land is in turmoil. The last Shogunate has collapsed, leaving the nation divided into seven warring factions. Out of this chaos will emerge one warlord who will master the Art Of War.  [Electronic Arts]",24,Creative Assembly,Electronic Arts,1,"Strategy,Turn-Based,Real-Time,Historic,Historic,General,Historic"
569,DiRT,"June 19, 2007",PC,84,7.3,"(Formerly known as ""Colin McRae Rally 2007"" or ""CMR '07"")  After a two-year break for the series, Codemasters Studios' designers have created a reinvigorated McRae experience. The new Colin McRae title goes beyond the series' point-to-point rallying to deliver the most diverse selection of extreme off-road competitions. Sensational gravel, mud and dirt racing events from the world over include perilous Hill Climb and collision-packed Rally Cross events. International rallying competitions are also featured, with official cars on tracks based on real roads and locations around the globe. The title also expands on beat-the-clock racing and includes events with multiple cars on track to satisfy anyone who wants to push their on-the-edge driving just that bit further. [Codemasters]",20,Codemasters,Codemasters,3,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
570,Super Street Fighter IV: Arcade Edition,"July 7, 2011",PC,84,7.7,"Super Street Fighter IV Arcade Edition features a roster of 39 characters, with 4 new characters added.",11,"Capcom, QLOC",Capcom,3,"Action,Fighting,Fighting,3D,2D,3D"
571,Football Manager 2012,"October 20, 2011",PC,84,7.9,"Counting over 800 new features, not including changes to the rules of the games 50+ leagues, Football Manager 2012 promises to be the most realistic, immersive and playable football management simulation ever for any fan who has ever dreamed of making the big decisions, both on and off the field.",45,Sports Interactive,Sega,1,"Sports,Traditional,Team,Football,Soccer,Management,Management"
572,Guild Wars Factions,"April 28, 2006",PC,84,8.4,"The stand-alone Guild Wars Factions is the second campaign in ArenaNet's massively multiplayer online role-playing game. The Factions campaign, which can be played either connected with the regular Guild Wars or as its own separate game, includes new regions (with an entire new continent), professions, skills, missions, and monsters, along with expanded options for both Cooperative and Player-versus-Player (PvP) play, and enhanced features for guilds. New content includes a number of the skills added to Guild Wars: Factions, including some of the deadly skills of the Assassin and the arcane spells of the spiritual Ritualist. Factions will also introduce a new PvP continent, Battle Isles. Battle Isles will introduce players to new PvP experiences, new and expanded arenas, new quests and a new explorable area as well. [NCsoft]",39,ArenaNet,NCSOFT,1,"Role-Playing,Miscellaneous,General,General,Compilation,Massively Multiplayer"
573,Gorogoa,"December 14, 2017",PC,84,8.3,"Gorogoa is an elegant evolution of the puzzle genre, told through a beautifully hand-drawn story designed and illustrated by Jason Roberts.",32,"Jason Roberts, Buried Signal",Jason Roberts,5,"Puzzle,General"
574,Darkest Dungeon,"January 19, 2016",PC,84,7.9,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?",56,Red Hook Studios,Red Hook Studios,6,"Role-Playing,General"
575,80 Days (2015),"September 29, 2015",PC,84,7.4,"1872, with a steampunk twist. Phileas Fogg has wagered he can circumnavigate the world in just eighty days. Choose your own route around a 3D globe, travelling by airship, submarine, mechanical camel, steam-train and more, racing other players and a clock that never stops.",8,"inkle, Cape Guy",inkle,3,"Adventure,Visual Novel"
576,Spore,"September 7, 2008",PC,84,5.7,"From the mind of Will Wright comes SPORE, a journey that takes you from the origin and evolution of life through the development of civilization and technology and eventually all the way into the deepest reaches of outer space. Begin your odyssey at the dawn of life as a simple microbe just trying to survive, then use the fun, intuitive Editors to evolve the creature from its microscopic origins into an intelligent, tool-using race. Guide your species as it builds (and the player designs) villages, buildings, cities, and vehicles. Along the way to becoming a global civilization you can choose whether to hunt or forage, attack or trade, be nice or play rough. All the action takes place in a huge, lush world populated with creatures evolved by other players and shared over SPORE's central servers. When it's ready, your one-time pond scum launches into space in its UFO on a grand voyage of discovery, planet forming, or destruct-ion. As you explore and play in this limitless universe of unique worlds, your personal Sporepedia tracks all the creatures you've met and places you've visited. Take complete control of your creature's fate as you guide it through the following six evolutionary phases: Tidepool phase: Fight with other creatures and consume them to adjust the form and abilities of your creature. It's survival of the fittest at the most microscopic level. Creature phase: Venture onto dry land and help your creature learn and evolve with forays away from your safe haven. Carnivore or Herbivore? Social or Independent? The choice is yours. Tribal phase: Instead of controlling an individual creature, you are now caring for an entire tribe of your genetic craftwork. Give them tools and guide their interactions as you slowly upgrade their state of existence. City phase: Bring your creatures' race into a new golden era by building up the technology, architecture, and infrastructure of their city. Civilization phase: Once your city is established, your creatures begin seeking out and interacting with other cultures. You can have them do so with an olive branch or a war cry—either way, the goal for your creatures is to unify the planet. Space phase: The time has come to move on to other worlds in your solar system. Make first-contact, colonize, or terraform, then venture further to find other solar systems scattered throughout a magnificently rendered galaxy. A 'mission' structure provides new goals and paths to follow as you begin to spread through the universe. [Electronic Arts]",75,Maxis,EA Games,1,"Strategy,Breeding/Constructing,General,Breeding/Constructing"
577,Shovel Knight Pocket Dungeon,"December 13, 2021",PC,84,7.7,"Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like none other. Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like none other! Join your mysterious guide Puzzle Knight as you shovel through scads of foes, procure new equipment, and battle bosses both familiar and new. Explore a tale with endless twists and turns, quest as your favorite heroes, and even challenge a friend for fast-paced head-to-head competition in Shovel Knight Pocket Dungeon!

    Enter a world of falling block puzzle games, with a dungeon-crawling twist! Bump into enemies to battle them and trade damage in a unique combat system. An all-new hybrid that’s never been seen before. Group foes together for massive chain attacks while grabbing keys, power-ups, and potions to refill your health!
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Equip yourself on the fly with a treasure trove of items and equipment. Mix and match your loadout to prepare for any encounter.
    Play in a variety of ways with Story Mode, 2 player competitive Versus Mode, a Daily Challenge, and much more!
    A bold new visual style complements a new story. Learn the ropes from your pal Puzzle Knight as you attempt to escape the mysterious Pocket Dungeon. Shovel Knight’s signature storytelling and humor are on full display!
    Using your Shovel Knight series Amiibo allows you to call upon a familiar fairy friend to keep you company on your perplexing puzzle adventure!",17,Vine,Yacht Club Games,4,"Puzzle,Action"
578,Unity of Command,"November 15, 2011",PC,84,7.2,"Unity of Command lets you replay the epic conflict that was the Stalingrad Campaign of World War II. In this turn-based game of strategy and cunning, observe how opportunity leads the German army to advance recklessly into the steppes of southern Russia. And as the story unfolds, join the Soviet campaign to repel the invaders... As these legendary battles play out on the hex board, the tension of decision making and difficulties of conducting operations on a massive scale emerge. Command armies and fronts in maneuver warfare, thrust and encircle, capture cities and cross continents; but never, ever forget to watch your supply lines.",7,2x2 Games,2x2 Games,1,"Strategy,Turn-Based,Historic,General"
579,Hearthstone: Heroes of Warcraft - The Grand Tournament,"August 24, 2015",PC,84,4.0,"132 new cards add a cavalry of noble knights, powerful steeds, potent spells, and more to your collection. A new keyword, Inspire, rallies minions to perform great acts of courage as they fight in your honor for a hard-earned victory.",8,Blizzard Entertainment,Blizzard Entertainment,2,"Strategy,Turn-Based,Card Battle"
580,Eliza,"August 12, 2019",PC,84,6.4,"Eliza is a visual novel about an AI counseling program, the people who develop it, and the people who use it. Follow Evelyn Ishino-Aubrey as she reconnects with people from her past, gets to know the people of Seattle who use Eliza for counseling, and decides the course of her future.",7,Zachtronics Industries,Zachtronics Industries,2,"Adventure,Visual Novel"
581,Metro Redux,"August 26, 2014",PC,84,7.9,"The Metro Redux bundle features both Metro 2033 Redux and Metro: Last Light Redux. Both games have been remastered in the latest 4A Engine, and tout two unique unique play styles - Spartan and Survival - plus the legendary Ranger Mode.",28,4A Games,Deep Silver,4,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi"
582,Enter the Gungeon,"April 5, 2016",PC,84,8.0,"Enter the Gungeon is a bullet hell dungeon crawler following a band of misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past.",27,Dodge Roll,Devolver Digital,5,"Action,General,Shooter,Shoot-'Em-Up,Top-Down"
583,"Time Gentlemen, Please!","July 2, 2009",PC,84,7.4,"What’s worse than finding out that your future evil selves have set about a series of events that wipes out all human life on the planet? Going back in time to fix things with half a mind on preventing coathangers from ever being invented, and accidentally setting up an alternate-universe Hitler with an unstoppable army of dinosaur clones instead, that’s what! Whoopsie! [Zombie Cow Studios]",14,Zombie Cow Studios,Zombie Cow Studios,1,"Adventure,General,General,Point-and-Click"
584,Total War: WARHAMMER II - Rise of the Tomb Kings,"January 23, 2018",PC,84,7.1,"Across the arid deserts of Nehekhara, vast legions of skeletal warriors rise from beneath the baking sands to slaughter those who trespass into their domain. It is a lifeless realm of endless dunes, stained red from the blood of savages and barbarians. This is the Land of the Dead, where mummified kings are cursed to rule in perpetual unlife. But it was not always thus.",15,Creative Assembly,Sega,1,"Strategy,Real-Time,Tactics"
585,Infernax,"February 14, 2022",PC,84,7.5,Infernax is the adventures of a great knight who returns to his homeland only to find it plagued with unholy magic. Uncover the mysteries of the curse and face the consequences of your actions.,11,Berzerk Studio,Berzerk Studio,5,"Action,Action Adventure,Platformer,Open-World,Metroidvania"
586,Europa Universalis IV: Wealth of Nations,"May 29, 2014",PC,84,8.5,"The expansion allows you to create trade conflicts in secret, steal from your competitors with the use of privateers, use peace treaties to gain trade power and create a new trade capital to strengthen your grasp over trade. The age of exploration is brought to life in this epic game of trade, diplomacy, warfare and exploration by Paradox Development Studio, the Masters of Strategy. Europa Universalis IV gives you control of a nation to rule an empire that lasts through the ages.",9,Paradox Development Studio,Paradox Interactive,1,"Strategy,Real-Time,General,Historic"
587,Mass Effect 3: Citadel,"March 5, 2013",PC,84,8.0,"When a sinister conspiracy targets Commander Shepard, you and your team must uncover the truth, through battles and intrigue that range from the glamour of the Citadel's Wards to the top-secret Council Archives.  Uncover the truth and fight alongside your squad - as well as the cast from the original Mass Effect and Mass Effect 2, including Urdnot Wrex!",8,BioWare,Electronic Arts,3,"Role-Playing,Action RPG,Action RPG"
588,Disciples II: Dark Prophecy,"January 22, 2002",PC,84,8.7,"Dark Prophecy returns gamers to the magical realm of the Sacred Lands where four races - the Empire, the Mountain Clans, the Legions of the Damned and the Undead Hordes - continue the battle for the destiny of their Gods. A decade after the First Great War, the final prophecy continues to unfold. [Strategy First]",18,Strategy First,Strategy First,1,"Strategy,Turn-Based,Fantasy,General,Fantasy"
589,Frostpunk,"April 24, 2018",PC,84,8.4,"In a completely frozen world, people develop steam-powered technology to oppose the overwhelming cold. Society in its current form becomes ineffective and it has to change in order to survive.",67,11 bit studios,11 bit studios,3,"Strategy,Action Adventure,Management,Survival,Government"
590,Just Cause 2,"March 23, 2010",PC,84,7.6,"Developed by Avalanche Studios, Just Cause 2 finds Rico Rodriguez returning in an epic open-world adventure set in the diverse tropical playground of Panau in South East Asia, where the aim is to cause chaos and destruction in a way that only Rico knows how! His mission is to destabilize the island and free it from the tyranny of the evil dictator, Baby Panay. Players tackle missions and objectives in any way they want while exploring the highly-detailed and beautiful island by land, sea or air, performing an insane range of new daredevil stunts and mastering the use of the all new grappling hook and Rico's trademark parachute. [Eidos Interactive]",33,Avalanche Studios,Square Enix,3,"Action Adventure,Modern,Modern,Open-World"
591,Football Manager 2020,"November 18, 2019",PC,84,6.0,"Run your football club, your way. Every decision counts in Football Manager 2020 with new features and polished game mechanics rewarding planning and progression like never before, empowering managers to develop and refine both your club’s and your own unique identity.",35,Sports Interactive,Sega,3,"Sports,Team,Soccer,Management"
592,Nex Machina: Death Machine,"June 20, 2017",PC,84,6.8,"Nex Machina is an intense arcade style twin-stick shooter from Housemarque. Taking hints from both Robotron and Smash TV, Nex Machina focuses on pure action, voxel destruction and competition in the distant, cablepunk themed future.",16,Housemarque,Housemarque,2,"Action,Shooter,Shoot-'Em-Up,Top-Down"
593,Streets of Rage 4,"April 30, 2020",PC,84,7.8,"Publisher Dotemu (Wonder Boy, Windjammers 1/2) and developers Lizardcube (Wonder Boy) and Guard Crush Games today revealed Streets of Rage 4, an all-new continuation of SEGA's iconic arcade brawler series known for its radical fights, jammin' '90s beats and dashing sparring gloves and bandanas. 

Streets of Rage, known as Bare Knuckle (Bea Nakkuru) in Japan, is a trilogy of beat 'em up games developed and published by SEGA in the 1990s.

Famously known for its non stop action and electronic dance influenced music - scored by Yuzo Koshiro and Motohiro Kawashima - the series has gained the status of cult classic throughout the years. It is considered one of the best beat 'em up series of all time. After many years, Axel and Blaze are finally picking up the fight where they left.

Featuring hand-drawn visuals from the team behind 2017's gorgeous Wonder Boy: The Dragon's Trap remake, Streets of Rage 4 builds upon the classic trilogy's gameplay with new mechanics, a fresh story and a gauntlet of dangerous stages with a serious crime problem. Streets of Rage 4 recalls classic gameplay but it stands as an entirely original arcade-style romp thanks to the expertise of Guard Crush Games and Dotemu.

Whether players gang up with a friend or clean up the city solo, Streets of Rage 4 is a skull-bashing, chicken-chomping delight all set to a thumping soundtrack sure to get your blood pumping. 

Features:

* The comeback of the legendary Streets of Rage series.
* Beautiful graphics fully hand-drawn animated by the studio behind Wonder Boy: The Dragon's Trap.
* Classic gameplay enhanced with brand new mechanics.
* Soundtrack by a wide line-up of world-class musicians.
* Braised chicken served on a pristine plate.",50,Lizardcube,DotEmu,6,"Action,Beat-'Em-Up,2D"
594,Crysis Warhead,"September 16, 2008",PC,84,7.9,"In Crysis Warhead, players don the Nanosuit of Sergeant Sykes, also known as 'Psycho', one of the most memorable characters from Crysis.  More brash and aggressive than his Delta Force squadmate Nomad, players experience Psycho's parallel story during the events of the original game, finding that life on the other side of the island is even more intense and explosive than they ever could have imagined. Luckily, Psycho's Nanosuit is just as capable and he's equipped with an even bigger arsenal of fully customizable weapons and new vehicles, giving players access to the tools they need to dominate any situation.  Aside from this new  single player campaign, Crysis Warhead also features new multiplayer content. [Electronic Arts]",56,Crytek,Electronic Arts,1,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
595,Assassin's Creed IV: Black Flag,"November 19, 2013",PC,84,8.0,"The year is 1715. Pirates rule the waters of the Caribbean and have established a lawless Republic. Among these outlaws is a lethal young captain named Edward Kenway. His notorious exploits earn the respect of legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built for themselves.",10,Ubisoft,Ubisoft,7,"Action Adventure,Historic,Historic,Open-World"
596,Griftlands,"June 1, 2021",PC,84,7.2,Griftlands is a deck-building rogue-like where you fight and negotiate your way through a broken-down sci-fi world.,8,Klei Entertainment,Klei Entertainment,4,"Role-Playing,Strategy,Turn-Based,General,Card Battle"
597,Hyper Light Drifter,"March 31, 2016",PC,84,8.2,"Explore a beautiful, vast and ruined world riddled with unknown dangers and lost technologies. Inspired by nightmares and dreams alike. Hyper Light Drifter is a 2D Action RPG in the vein of the best 8-bit and 16-bit classics, with modernized mechanics and designs on a much grander scale.",47,Heart Machine,Heart Machine,5,"Role-Playing,Action RPG"
598,Hitman - Episode 2: Sapienza,"April 26, 2016",PC,84,6.1,"The 2nd installment of HITMAN finds Agent 47 traveling to the beautiful, sun-drenched coastal town of Sapienza, Italy. This episode adds a new story mission, new challenges, new weapons and gear, the Italian suit and of course new targets, opportunities and disguises.",7,Io Interactive,Square Enix,3,"Action Adventure,General"
599,Age of Mythology: The Titans,"September 30, 2003",PC,84,8.8,"Age of Mythology: The Titans Expansion adds a fourth mythology, the Atlanteans, to the existing Greek, Egyptian and Norse mythologies. A new single-player campaign will add yet another chapter to the franchise's expansive folklore along with the addition of new scenarios. Atlantean players will be able to call upon the might of the Titan gods (such as Atlas and Cronus) multiple times throughout the game, and may also upgrade human units to heroes. The expansion pack will introduce 12 new god powers, 15 new human units and 10 formidable myth units to the game. [Microsoft]",25,Ensemble Studios,Microsoft Game Studios,1,"Strategy,Real-Time,Fantasy,General,Fantasy"
600,SimCity 4,"January 12, 2003",PC,84,8.7,"PLAY GOD - Sculpt mountains, gouge valleys, seed forests, and bring forth animals to create a world imagined only by you. Summon volcanoes, release tornadoes, and call down meteors and ligthening. PLAY MAYOR - Connect a massive region of SimCities, each sharing and competing for resources. Deploy emergency vehicles and join in the action as they battle blazes, mobs, and more. PLAY WITH YOUR SIMS - Place your Sims in your city to get the inside scoop on what life's really like around town. Feel the rhythm of the city: mellow cruising and commuter hell, noontime crowds and nighttime calm. [Electronic Arts]",36,Maxis,EA Games,1,"Strategy,City Building,Management,Modern,Modern,Government"
601,Microsoft Train Simulator,"May 31, 2001",PC,84,7.6,"Take control of three engine types -- the electric-powered Acela HHP-8, the diesel Dash-9, and the steam-driven Flying Scotsman -- on a variety of real-life routes, including Japan's Kyushu and Shinjuku-Hakone lines, the US?s Northeast Corridor and Marias Pass, and Europe?s Settle & Carlisle and Orient Express.",16,Kuju Entertainment,Microsoft Game Studios,1,"Simulation,Train,Vehicle,Train"
602,Magic: The Gathering Arena,"September 27, 2018",PC,84,3.1,"You know the name. Now download and get ready for the most colossal crossover card set in Magic: The Gathering's history. Unlock powerful decks, earn rewards by playing, and jump into action for players of all skill levels.",20,Magic Digital Studio,Wizards of the Coast,2,"Strategy,Turn-Based,Card Battle"
603,Lair of the Clockwork God,"February 21, 2020",PC,84,7.4,A fast-paced Point-and-Click adventure AND an indie platfomer in one! Join adventurer Ben and wannabe indie darling Dan in a race against time to stop all the Apocalypses happening at the same time.,11,Size Five Games,Size Five Games,4,"Adventure,General"
604,Tales of Arise,"September 10, 2021",PC,84,8.4,"Challenge the Fate That Binds You

On the planet Dahna, reverence has always been given to Rena, the planet in the sky, as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.

Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a new cast of characters, updated combat, and classic Tales of gameplay mechanics, experience the next chapter in the world-famous Tale of series, Tales of Arise.

The Next Chapter
Experience the next chapter in the Tales of series, brought to life in stunning HD powered by Unreal Engine 4

Dynamic Action
Dynamic Action RPG featuring an updated battle system that retains classic Tales of gameplay

A New Tale Awaits
Rich story featuring a vibrant world and new cast of characters

Stunning Visuals
High quality animation created by Ufotable",15,Bandai Namco Games,Bandai Namco Games,5,"Role-Playing,Japanese-Style"
605,Final Fantasy IX,"April 14, 2016",PC,84,8.8,"The last Final Fantasy for the PlayStation, Final Fantasy IX returns to the pure fantasy roots that spawned the series.  This latest installment features highly detailed characters, vehicles, and environments, and breathtaking cinema-graphics.  The addition of brand new features such as the story-enhancing Active Time Event system and the return of minigames that grant additional gameplay make Final Fantasy IX not only a memorable gaming experience, but also a significant step forward in the series.",7,Square Enix,Square Enix,5,"Role-Playing,Japanese-Style"
606,Black Mesa,"September 14, 2012",PC,84,8.9,"Black Mesa is a re-envisioning of Valve Software's seminal game Half-Life. You will re-visit the inaugural role of Gordon Freeman and his memorable journey through the Black Mesa Research Facility. Expect detailed environments to explore, a huge cast of characters and experimental weaponry. All-new music, voice acting, choreography and added dialogue give way to a more expansive and immersive experience than ever before. [Valve]",26,Black Mesa Modification Team,Black Mesa Modification Team,1,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
607,Rise of Nations: Rise of Legends,"May 9, 2006",PC,84,8.4,"Rise of Nations: Rise of Legends evolves the franchise's trademark features such as borders, large-scale battles and city-building in innovative ways. Players are able to transform small villages into powerful civilizations and lead vast fantasy armies into strategic battles using formations, unit control and heroic abilities to destroy the enemy. The popular Conquer the World (CTW) Campaign returns in Rise of Nations: Rise of Legends with exciting updates. The new CTW Campaign guides players through a new world of heroes, monsters, loyalty and betrayal. Gamers follow a story through multiple campaigns with fascinating subplots and heroic characters. The campaigns immerse players in an ever-changing three-dimensional world with terrain and cities that evolve as civilizations grow. [Microsoft]",46,Big Huge Games,Microsoft Game Studios,1,"Strategy,Real-Time,Fantasy,General,Fantasy"
608,TOCA Race Driver 3,"February 22, 2006",PC,84,7.7,"(Also known as ""ToCA Race Driver 2006"") TOCA Race Driver 3 takes the variety of motorsport experiences available in ""Race Driver 2"" and expanding on it even further, so no matter what your taste in racing, you'll find something to suit you. Featuring the British GT championship, series stalwarts the DTM and Aussie V8 Supercars, Sprint Cars, Rallying, and open wheel racing all the way from karts to the BMW Williams Grand Prix Cars, and much more TOCA Race Driver 2006 has something for everyone. Race on tracks from all over the world, take the story-driven ""world tour"" mode if you want to get straight to where the action is, or for the people wanting the nuts and bolts, take the ""Pro Career"" mode and work you way up the ladder in different disciplines of motorsport, aiming for the pinnacle of your chosen field. [Codemasters]",16,Codemasters,Codemasters,2,"Driving,Racing,Simulation,General,General,GT / Street,Automobile"
609,FTL: Faster Than Light,"September 14, 2012",PC,84,8.4,"You manage the Kestrel and its crew as you explore the galaxy. Strategic, real-time combat involves managing power between essential systems and choosing which enemy systems to target. Meanwhile, you control your crew to keep the ship functioning and fight off intruders. The combat is difficult but, being a ""roguelike-like"" game, frequent permadeath is at the core of the experience.

While exploring the galaxy you will encounter a variety of situations requiring decision making that can result in many outcomes. Since all events are randomly generated, each play-through will be significantly different.",42,Subset Games,Subset Games,2,"Simulation,Strategy,Real-Time,Sci-Fi,Space,Small Spaceship,General,Small Spaceship,Combat"
610,Guacamelee! 2,"August 21, 2018",PC,84,7.5,"Head back to the Mexiverse in this sequel to Guacamelee! Uppercut your way to victory across stunning new hand-crafted levels. Featuring full 4-player co-op, fancy new wrestling moves, sassy new bosses, twice the enemies, and 300% more chickens.",10,DrinkBox Studios,DrinkBox Studios,4,"Action,Platformer,2D,"
611,SOMA,"September 21, 2015",PC,84,8.4,"Strange occurrences are disrupting the routines of the PATHOS-2 research facility. The radio is silent. Behavioral anomalies of the machines are increasingly dangerous, if not... malevolent. The facility is devolving into chaos. No weapons, and the only escape is practically unthinkable. From Frictional Games, creators of the Amnesia and Penumbra series, SOMA is an aberrant tale of scientific inquiry and survival; an entropic exploration of synapse and circuit that wades through the delusions of human consciousness.",68,Frictional Games,Frictional Games,3,"Horror,Horror,Action Adventure,Survival"
612,DEFCON: Everybody Dies,"September 29, 2006",PC,84,8.4,"Inspired by the 1983 cult classic film, ""Wargames,"" DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare. You play a General hidden deep within an underground bunker. Your mission is to successfully exterminate your enemy's civilian population whilst saving your own. Points are awarded or lost depending on both the efficacy and thoroughness of your nuclear vendetta and the number of your own civilian deaths. In order to win you must wipe out the enemy population and simultaneously disable the enemy's ability to retaliate against you. This is an extremely difficult task since launching an attack on the enemy exposes the positions of your own Ground Silos, Subs and Bombers the moment they launch nuclear weapons, making you extremely vulnerable and exposed to a crushing counter-attack. Desperate attempts must be made to form fast, tactical alliances, alliances that may at any moment break-down to become the treacherous and most deadly of betrayals. Everyone looks to each other in a state of nervous suspense and paranoid accusation. In all-out nuclear Armageddon, everybody dies, everybody loses, you just have to make sure you lose the least! [Valve]",36,Introversion,"Encore Software, Inc.",1,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
613,Tom Clancy's The Division 2,"March 15, 2019",PC,84,4.6,"Set in Washington D.C., the game takes place 7 months after a deadly virus was released in New York City and the nation has become a shell of its former self. While the virus has been contained, its effects are most evident in the devastated streets of the nation's capital where survivors cling to hope and struggle to rebuild. Enter The Division, a unit of civilian sleeper agents who now must work to stop enemy factions from completely taking over the city – and ultimately, the nation. As a universally-regarded seat of power, if D.C. falls, the nation falls. With civilians helpless and fearing for their lives, players will be the last line of defense in preventing the total collapse of society. [Ubisoft]",34,Massive Entertainment,Ubisoft,4,"First-Person,Action,Shooter,Third-Person,Tactical"
614,Tron 2.0,"August 26, 2003",PC,84,8.2,"TRON 2.0 is the present-day sequel to the 1982 cult film classic that wasa landmark of computerized graphical ingenuity. TRON 2.0, is a story-driven, first-person action game that propels the player into an alternate universe inside a computer. As Jet Bradley (son of the original films hero Alan Bradley) you will combat digital opponents using guns, rods, grenades, missiles, and the iconic TRON disc. Combining the best of the genre with a truly innovative look and breakthrough game play, TRON 2.0 delivers an adventure unlike any other. It will take PC gaming to a new level with intense action, intense and deadly battles, and high-speed light cycle races. [Disney]",39,Monolith Productions,Buena Vista Interactive,1,"Action,Action Adventure,Shooter,General,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
615,Fuga: Melodies of Steel,"July 29, 2021",PC,84,8.4,"""We have to fight! If we don't, everyone we love will be taken away!"" One fateful night, a peaceful village is thrown into the flames of war. Determined to save their families, a group of children boards a giant tank and begins an offensive charge! Fuga: Melodies of Steel is an RPG where you place children, each with their own unique characteristics and skills, at different gun turrets in a tank to fight against the enemy.

Living inside the tank, the children show emotion and gain affinity amongst each other. Manage these both to change the outcome of their journey!

-A mysterious ancient weapon: The Taranis
Taranis, the giant tank sheltering the children, conceals many mysteries and somehow seems to have its own will. In situations of crisis, it can release a forbidden weapon, the dreadful Soul Cannon.

-Your adventure. Your choices.
Will you make sacrifices for victory? Or will you seek another path?
In this RPG, many choices have to be made in order to progress...but taking the safest road may not always be the best option. 

Faced with a desperate situation, what course of action will you choose?",14,CyberConnect2,CyberConnect2,6,"Role-Playing,General"
616,NieR: Automata,"March 17, 2017",PC,84,8.6,"The distant future

Invaders from another world attack without warning, unleashing a new type of threat: weapons known as machine lifeforms. In the face of this insurmountable threat, mankind is driven from Earth and takes refuge on the Moon.

The Council of Humanity organizes a resistance of android soldiers in an effort to take back their planet. To break the deadlock, the Resistance deploys a new unit of android infantry: YoRHa.

In the forsaken wasteland below, the war between the machines and the androids rages on. A war that is soon to unveil the long-forgotten truth of this world...",12,PlatinumGames,Square Enix,2,"Role-Playing,Action RPG"
617,Brothers in Arms: Earned in Blood,"October 6, 2005",PC,84,7.4,"Experience authentic WWII combat as Sergeant Joe Hartsock and lead your squad beyond Carentan to liberate all of Normandy. Taking online tactics to new heights, Brothers In Arms Earned In Blood offers more unique multiplayer missions and improved online support. (Including the bundled addition of modification support for the PC). Earned In Blood features an all-new cooperative Skirmish mode that allows one or two players to take a tour of duty through a series of authentic and harrowing custom combat missions. Arm yourself with additional authentic weapons and command new vehicles like the M10 ""Wolverine"" Tank Destroyer. More Challenging and Dynamic Combat - the game features close quarter urban environments and a new, next generation artificial intelligence system. [Ubisoft]",23,Gearbox Software,Ubisoft,2,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade"
